Animals,Sharks are mammals.,False,Answer: False - they are actually classified as fish.
Animals,Sea otters have a favorite rock they use to break open food.,True,Answer: True - they keep these treasures in the loose skin under their arms.
Animals,The blue whale is the biggest animal to have ever lived.,True,Answer: True - and that includes dinosaurs!
Animals,The hummingbird egg is the world's smallest bird egg.,True,"Answer: True - on the flip side, ostriches lay the largest eggs."
Animals,Pigs roll in the mud because they don’t like being clean.,False,Answer: False - pigs have few sweat glands and their muddy baths help keep them cool.
Animals,Bats are blind.,False,"Answer: False - bats often find their way using ultrasound but their eyes work, just not particularly well)."
Animals,A dog sweats by panting its tongue.,False,Answer: False - canines sweat through glands in their paws.
Animals,It takes a sloth two weeks to digest a meal.,True,Answer: True - that’s the slowest digestion time of any mammal!
Animals,The largest living frog is the Goliath frog of West Africa.,True,Answer: True - this amphibian reaches lengths of 12.5 inches and weighs 7.2 pounds.
Animals,"An ant can lift 1,000 times its body weight.",False,"Answer: False - ants can lift 5,000 times their body weight!"
Animals,"When exiting a cave, bats always go in the direction of the wind.",False,Answer: False - bats always turn left out of a cave.
Animals,Galapagos tortoises sleep up to 16 hours a day.,True,"Answer: True - and they can go a year without food or water, so they have lots of time for extra sleep."
Animals,An octopus has seven hearts.,False,Answer: False - it has three hearts and they do a lot of work. One heart circulates blood around the body and the other two pump blood past the gills and pick up oxygen.
Animals,The goat is the national animal of Scotland.,False,Answer: False - it is the unicorn.
Animals,Herbivores are animal eaters.,False,Answer: False - herbivores only eat plants.
Animals,A monkey was the first non-human to go into space.,False,Answer: False - fruit flies were the first to make the trip. 
Animals,New York City is composed of between 36 and 42 islands.,True,"Answer: True - New York has three main islands: Manhattan Island, Staten Island and part of Long Island, and it also has a number of smaller islands within each borough."
Geography,South Africa has one capital.,False,"Answer: False - it has three: Pretoria, Cape Town, and Bloemfontein."
Geography,The Atlantic Ocean is the biggest ocean on Earth.,False,Answer: False - the Pacific Ocean is the largest ocean covering more than 60 million square miles.
Geography,Mount Everest is the tallest mountain in the world.,True,"Answer: True - Mount Everest reaches an elevation of 29,032 feet."
Geography,You can find the ‘Desert of Death’ in California.,False,"Answer: False – you will have to travel to Dasht-e Margo, Afghanistan to find it."
Geography,"The total length of the Great Wall of China adds up to 13,171 miles.",True,Answer: True - that distance is half the length of the equator.
Geography,The two longest rivers in the world are the Mississippi and the Nile.,False,Answer: False - it is the Nile and the Amazon.
Geography,The Chunnel between England and France is 31.5 miles long.,True,Answer: True - it is the world’s longest undersea tunnel - that’s the equivalent of 169 Eiffel Towers stacked on top of each other.
Geography,Greenland is the largest island in the world.,True,"Answer: True - the island is approximately 836,330 square miles - three times the size of Texas."
Geography,There are more countries in South America than Africa.,False,Answer: False - there are 54 countries in Africa compared to 12 in South America.
Geography,Alaska has the most active volcanoes of any state in the United States.,True,Answer: True - Alaska has 141 potentially active volcanoes.
Geography,China has the longest coastline in the world.,False,"Answer: False - the winner is Canada with 151,019 miles."
Geography,Vatican City is the smallest country in the world.,True,"Answer: True - measuring a mere 0.2 square miles, it is almost 120 times smaller than Manhattan in New York."
Geography,Venezuela is home to the world’s highest waterfall.,True,Answer: True - you would have to climb 979 meters to reach the top.
Geography,The human body has four lungs.,False,"Answer: False - it has two. Those lungs aid the average person in breathing 11,000 liters of air every day."
The Human Body,Human skin regenerates every week.,False,Answer: False - it regenerates every 28 days with an average of 0.001 – 0.003 ounces of skin flakes every hour).
The Human Body,The average human sneeze can be clocked at 100 miles an hour.,True,"Answer: True - and be sure to cover your nose, a sneeze can create upwards of 100,000 droplets."
The Human Body,Humans lose an average of 75 strands of hair a month.,False,Answer: False - humans can lose up to 75 strands in ONE DAY.
The Human Body,Infants have more bones than adults.,True,Answer: True - infants are born with approximately 300 bones but have 206 by the time they reach adulthood.
The Human Body,The heart is the largest internal organ in the body.,False,Answer: False - the largest internal organ in the body is the liver (the skin is the largest overall).
The Human Body,Most of the human brain is made of muscle.,False,"Answer: False - 60% is made up of fat, making it the fattiest organ."
The Human Body,Taste buds can only be found on the tongue.,False,"Answer: False - while most taste buds are on your tongue, there are also taste cells in the back of your throat, on your epiglottis, your nose and sinuses, throat and upper part of the esophagus."
The Human Body,The human eye can distinguish 10 million different colors.,True,"Answer: True - the average human eye contains three cones sensitive to red, green, and blue wavelengths of light. "
The Human Body,Humans lose more than 80% of heat from their feet.,False,Answer: False - 80% of heat is lost through the head.
The Human Body,The human body is about 60% water.,True,Answer: True - water is essential for every cell to function.
The Human Body,The most common blood type is 0- negative.,True,Answer: True – and AB- negative is the rarest. 
The Human Body,Aladdin's character was based on Brad Pitt.,False,Answer: False - Tom Cruise was the inspiration for the character.
Disney,The song “We Don’t Talk About Bruno” from Encanto is the first Disney song to hit #1 on the Billboard Hot 100 chart in 29 years.,True,Answer: True - Disney’s last number one hit was “A Whole New World” from Aladdin in 1993. (Frozen hit “Let It Go” peaked at #5)
Disney,"It took eight months from start to finish to produce the 1959 Disney film, Sleeping Beauty.",False,Answer: False - it took eight years.
Disney,"Pinocchio was the first animated, full-color Walt Disney feature film.",False,Answer: False - it was Snow White and the Seven Dwarfs.
Disney,Toy Story was Pixar’s first movie.,True,"Answer: True - it was released in 1995. To date, three more Toy Story films have been released."
Disney,Minnie Mouse’s full name is Wilhelmina Mouse.,False,Answer: False – her real name is Minerva Mouse.
Disney,Dumbo is the shortest Disney film.,True,Answer: True - this feature-length film runs only 64 minutes long.
Disney,The Aristocats was the first film to be made after Walt Disney’s death.,True,Answer: True - it was the last film to be approved by Walt Disney directly and the last to end with the line “A Walt Disney Production.”
Disney,Prince Eric and Ariel from The Little Mermaid have a daughter named Princess Song.,False,"Answer: False - her name is Princess Melody, she is the main character in The Little Mermaid II: Return to the Sea."
Disney,Beauty and the Beast was Disney’s first Broadway musical.,True,Answer: True - Beauty and the Beast premiered on Broadway in 1994 and ran for 13 years. 
Disney,Pepperoni is the most popular pizza topping in the US.,True,Answer: True - mushrooms come in second.
Holidays,Cheesecake comes from Italy.,False,Answer: False - you can thank Greece for the tasty treat.
Holidays,Pineapples grow on trees.,False,Answer: False - they actually grow in the ground.
Holidays,A potato was the first vegetable to be planted on the space shuttle.,True,Answer: True - the University of Wisconsin-Madison and NASA partnered to put spuds in space.
